Label,Message
0.0,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end reply end sptv
1.0,know mallika sherawat yesterday find lt url gt
0.0,congrats year special cinema pas call c suprman v matrix starwars etc free bx ip pm dont miss
1.0,sorry call later meeting
1.0,tell reached
1.0,yes gauti sehwag odi series
1.0,gonna pick burger way home even move pain killing
1.0,ha ha ha good joke girl situation seeker
1.0,part checking iq
1.0,sorry roommate took forever ok come
1.0,ok lar double check wif da hair dresser already said wun cut v short said cut look nice
0.0,valued customer pleased advise following recent review mob awarded bonus prize call
1.0,today song dedicated day song u dedicate send ur valuable frnds first rply
0.0,urgent ur awarded complimentary trip eurodisinc trav aco entry claim txt dis morefrmmob shracomorsglsuplt l aj
0.0,hear new divorce barbie come ken stuff
1.0,plane give month end
1.0,wah lucky man save money hee
1.0,finished class
1.0,hi babe im home wanna something xx
1.0,k k performed
1.0,u call
1.0,waiting machan call free
1.0,thats cool gentleman treat dignity respect
1.0,like people much shy pa
1.0,operate lt gt
1.0,still looking job much ta earn
1.0,sorry call later
1.0,k call ah
1.0,ok way home hi hi
1.0,place man
1.0,yup next stop
1.0,call later network urgnt sm
1.0,real u getting yo need ticket one jacket done already used multis
1.0,yes started send request make pain came back back bed double coin factory gotta cash nitros
1.0,really still tonight babe
1.0,ela kano il download come wen ur free
1.0,yeah stand close tho catch something
1.0,sorry pain ok meet another night spent late afternoon casualty mean done stuff moro includes time sheet sorry
1.0,smile pleasure smile pain smile trouble pours like rain smile sum hurt u smile becoz someone still love see u smiling
0.0,please call customer service representative pm guaranteed cash prize
1.0,havent planning buy later check already lido got show e afternoon u finish work already
0.0,free ringtone waiting collected simply text password mix verify get usher britney fml
1.0,watching telugu movie wat abt u
1.0,see finish load loan pay
1.0,hi wk ok hols yes bit run forgot hairdresser appointment four need get home n shower beforehand cause prob u ham
1.0,please text anymore nothing else say
1.0,okay name ur price long legal wen pick u ave x am xx
1.0,still looking car buy gone driving test yet
1.0,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press copy friend callertune
1.0,wow right mean guess gave boston men changed search location nyc something changed cuz signin page still say boston
1.0,umma life vava umma love lot dear
1.0,thanks lot wish birthday thanks making birthday truly memorable
1.0,aight hit get cash
1.0,would ip address test considering computer minecraft server
1.0,know grumpy old people mom like better lying always one play joke
1.0,dont worry guess busy
1.0,plural noun research
1.0,going dinner msg
1.0,ok wif co like try new thing scared u dun like mah co u said loud
0.0,gent trying contact last weekend draw show prize guaranteed call claim code k valid hr ppm
1.0,wa ur openin sentence formal anyway fine juz tt eatin much n puttin weight haha anythin special happened
1.0,entered cabin pa said happy b day bos felt special askd lunch lunch invited apartment went
0.0,winner u specially selected receive holiday flight inc speak live operator claim p min
1.0,goodo yes must speak friday egg potato ratio tortilla needed
1.0,hmm uncle informed paying school directly pls buy food
0.0,private account statement show unredeemed bonus point claim call identifier code expires
0.0,urgent mobile awarded bonus caller prize final try contact u call landline box wr c ppm
1.0,new address apple pair malarky
0.0,today voda number ending selected receive award match please call quoting claim code standard rate app
1.0,going sao mu today done
1.0,predict wat time finish buying
1.0,good stuff
1.0,know yetunde sent money yet sent text bother sending dont involve anything imposed anything first place apologise
1.0,room
1.0,hey girl r u hope u r well del r bak long time c give call sum time lucyxx
1.0,k k much cost
1.0,home
1.0,dear call tmorrow pls accomodate
1.0,first answer question
0.0,sunshine quiz wkly q win top sony dvd player u know country algarve txt ansr sp tyrone
0.0,want get laid tonight want real dogging location sent direct ur mob join uk largest dogging network bt txting gravel nt ec p msg p
1.0,haf msn yijue hotmail com
1.0,call meet
1.0,check room befor activity
0.0,rcv msg chat svc free hardcore service text go u get nothing u must age verify yr network try
1.0,got c lazy type forgot lect saw pouch like v nice
1.0,k text way
1.0,sir waiting mail
1.0,swt thought nver get tired little thing lovable person coz somtimes little thing occupy biggest part heart gud ni
1.0,know pls open back
1.0,yes see ya dot
1.0,whats staff name taking class u
0.0,freemsg replied text randy sexy female live local luv hear u netcollex ltd p per msg reply stop end
1.0,ummma call check life begin qatar pls pray hard
1.0,k deleted contact
1.0,sindu got job birla soft
1.0,wine flowing nevering
1.0,yup thk cine better co need go plaza mah
1.0,ok ur typical reply
1.0,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press copy friend callertune
1.0,everywhere dirt floor window even shirt sometimes open mouth come flowing dream world without half chore time joy lot tv show see guess like thing must exist like rain hail mist time done become one
1.0,aaooooright work
1.0,leaving house
1.0,hello love get interview today happy good boy think missing
0.0,customer service annoncement new year delivery waiting please call arrange delivery
0.0,winner u specially selected receive cash holiday flight inc speak live operator claim
1.0,keep safe need miss already envy everyone see real life
1.0,new car house parent new job hand
1.0,love excited day spend make happy
0.0,pls stop bootydelious f inviting friend reply yes see www sm ac u bootydelious stop send stop frnd
0.0,bangbabes ur order way u receive service msg download ur content u goto wap bangb tv ur mobile internet service menu
1.0,place ur point e culture module already
0.0,urgent trying contact last weekend draw show prize guaranteed call claim code valid hr
1.0,hi frnd best way avoid missunderstding wit beloved one
1.0,great escape fancy bridge need lager see tomo
1.0,yes completely form clark also utter waste
1.0,sir need axis bank account bank address
1.0,hmmm thk sure got time hop ard ya go free abt muz call u discus liao
1.0,time coming later
1.0,bloody hell cant believe forgot surname mr ill give u clue spanish begin
1.0,well gonna finish bath good fine night
1.0,let know got money carlos make call
1.0,u still going mall
1.0,turn friend staying whole show back til lt gt feel free go ahead smoke lt gt worth
1.0,text doesnt reply let know log
1.0,hi spoke maneesha v like know satisfied experience reply toll free yes
1.0,lifted hope offer money need especially end month approach hurt studying anyways gr weekend
1.0,lol u trust
1.0,ok gentleman treat dignity respect
1.0,guy close
1.0,going nothing great bye
1.0,hello handsome finding job lazy working towards getting back net mummy boytoy miss
1.0,haha awesome minute
0.0,please call customer service representative freephone pm guaranteed cash prize
1.0,got xmas radio time get
1.0,jus reached home go bathe first si using net tell u finish k
0.0,unique enough find th august www areyouunique co uk
1.0,sorry joined league people dont keep touch mean great deal friend time even great personal cost great week
1.0,hi finally completed course
1.0,stop however suggest stay someone able give or every stool
1.0,hope settled new school year wishin gr day
1.0,gud mrng dear hav nice day
1.0,u got person story
1.0,hamster dead hey tmr meet pm orchard mrt
1.0,hi kate evening hope see tomorrow bit bloody babyjontet txt back u xxx
1.0,found enc lt gt
1.0,sent lt gt buck
1.0,hello darlin ive finished college txt u finish u love kate xxx
1.0,account refilled successfully inr lt decimal gt keralacircle prepaid account balance r lt decimal gt transaction id kr lt gt
1.0,goodmorning sleeping ga
1.0,u call alter ok
1.0,say like dat dun buy ericsson oso cannot oredi lar
1.0,entered cabin pa said happy b day bos felt special askd lunch lunch invited apartment went
1.0,aight yo dat straight dogg
1.0,please give u connection today lt decimal gt refund bill
1.0,shoot big load get ready
1.0,bruv hope great break rewarding semester
1.0,home always chat
1.0,k k good study well
1.0,yup noe leh
1.0,sound great home
1.0,finally match heading towards draw prediction
1.0,tired slept well past night
1.0,easy ah sen got selected mean good
1.0,take exam march
1.0,yeah think use gt atm register sure anyway help let know sure ready
1.0,ok prob take ur time
1.0,o called ubandu run without installing hard disk use o copy important file system give repair shop
1.0,sorry call later
1.0,u say leh course nothing happen lar say v romantic jus bit lor thk e nite scenery nice leh
0.0,new mobile must go txt nokia collect today www tc biz optout gbp mtmsg
1.0,would really appreciate call need someone talk
0.0,u meet ur dream partner soon ur career flyng start find free txt horo followed ur star sign e g horo aries
1.0,hey company elama po mudyadhu
1.0,life strict teacher bcoz teacher teach lesson amp conduct exam life first conduct exam amp teach lesson happy morning
1.0,dear good morning
1.0,get gandhipuram walk cross cut road right side lt gt street road turn first right
1.0,dear going rubber place
1.0,sorry battery died yeah
1.0,yes tv always available work place
0.0,text meet someone sexy today u find date even flirt u join p reply name age eg sam msg recd thirtyeight penny
1.0,printed oh lt gt come upstairs
1.0,ill little closer like bus stop street
1.0,wil reach
1.0,new theory argument win situation loses person dont argue ur friend kick amp say always correct
0.0,u secret admirer looking make contact u find r reveal think ur special call
1.0,tomarrow final hearing laptop case cant
1.0,pleassssssseeeeee tel v avent done sportsx
1.0,okay shining meant signing sound better
1.0,although told u dat baig face watch really like e watch u gave co fr u thanx everything dat u done today touched
1.0,u remember old commercial
1.0,late said website dont slipper
1.0,asked call ok
1.0,kallis wont bat nd inning
1.0,didnt work oh ok goodnight fix ready time wake dearly missed good night sleep
0.0,congratulation ur awarded cd voucher gift guaranteed free entry wkly draw txt music tncs www ldew com win ppmx age
1.0,ranjith cal drpd deeraj deepak min hold
1.0,wen ur lovable bcums angry wid u dnt take seriously coz angry childish n true way showing deep affection care n luv kettoda manda nice day da
1.0,
1.0,ups day also shipping company take wks way usps take week get lag may bribe nipost get stuff
1.0,back lemme know ready
1.0,necessarily expect done get back though headin
1.0,mmm yummy babe nice jolt suzy
1.0,lover need
0.0,tried contact reply offer video handset anytime network min unlimited text camcorder reply call
1.0,parked next mini coming today think
1.0,yup
1.0,anyway going shopping co si done yet dun disturb u liao
1.0,luton ring ur around h
0.0,hey really horny want chat see naked text hot text charged pm unsubscribe text stop
1.0,dint come u
1.0,wana plan trip sometme
1.0,sure yet still trying get hold
0.0,ur ringtone service changed free credit go club mobile com choose content stop txt club stop p wk club po box mk wt
1.0,evo download flash jealous
0.0,ringtone club get uk single chart mobile week choose top quality ringtone message free charge
1.0,come mu sorting narcotic situation
1.0,night ended another day morning come special way may smile like sunny ray leaf worry blue blue bay
0.0,hmv bonus special pound genuine hmv voucher answer easy question play send hmv info www percent real com
1.0,usf guess might well take car
1.0,objection bf coming
1.0,thanx
1.0,tell rob mack gf theater
1.0,awesome see bit
1.0,sent type food like
1.0,done handed celebration full swing yet
1.0,got called tool
1.0,wen u miss someone
1.0,ok asked money far
1.0,okie
1.0,yeah think usual guy still passed last night get ahold anybody let know throw
1.0,k might come tonight class let early
1.0,ok
1.0,hi baby im cruisin girl friend r u give call hour home thats alright fone fone love jenny xxx
1.0,life mean lot love life love people life world call friend call world ge
1.0,dear shall mail tonite busy street shall update tonite thing looking ok varunnathu edukkukayee raksha ollu good one real sense
1.0,hey told name gautham ah
1.0,haf u found feel stupid da v cam working
1.0,oops got bit
1.0,much buzy
1.0,accidentally deleted message resend please
0.0,mobile customer may claim free camera phone upgrade pay go sim card loyalty call offer end thfeb c apply
1.0,unless situation go gurl would appropriate
1.0,hurt tease make cry end life die plz keep one rose grave say stupid miss u nice day bslvyl
1.0,cant pick phone right pls send message
1.0,need coffee run tomo believe time week already
1.0,awesome remember last time got somebody high first time diesel v
1.0,shit really shocking scary cant imagine second def night u think somewhere could crash night save taxi
1.0,oh way food fridge want go meal tonight
1.0,womdarfull actor
0.0,sm ac blind date u rodds aberdeen united kingdom check http img sm ac w icmb cktz r blind date send hide
1.0,yup remb think book
1.0,jos ask u wana meet
1.0,lol yes friendship hanging thread cause u buy stuff
0.0,themob check newest selection content game tone gossip babe sport keep mobile fit funky text wap
1.0,garage key bookshelf
1.0,today accept day u accept brother sister lover dear best clos lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply mean enemy
0.0,think ur smart win week weekly quiz text play c winnersclub po box uz gbp week
1.0,say give call friend got money definitely buying end week
1.0,hi way u day normal way real ur unique hope know u rest mylife hope u find wot lost
1.0,made day great day
1.0,k k advance happy pongal
1.0,hmmm guess go kb n power yoga haha dunno tahan power yoga anot thk got lo oso forgot liao
1.0,really dude friend afraid
0.0,december mobile mths entitled update latest colour camera mobile free call mobile update co free
1.0,coffee cake guess
1.0,merry christmas babe love ya kiss
1.0,hey dont go watch x men lunch haha
1.0,cud u tell ppl im gona b bit l co bus hav gon past co full im still waitin pete x
1.0,would great guild could meet bristol road somewhere get touch weekend plan take flight good week
1.0,problem
1.0,call message missed call
1.0,hi da today class
1.0,say good sign well know track record reading woman
1.0,cool text parked
1.0,reading text sent meant joke read light
1.0,k k apo k good movie
1.0,maybe could get book tomo return immediately something
0.0,call germany penny per minute call fixed line via access number prepayment direct access
1.0,chance might evaporated soon violated privacy stealing phone number employer paperwork cool please contact report supervisor
0.0,valentine day special win quiz take partner trip lifetime send go p msg rcvd custcare
1.0,ta daaaaa home babe still
1.0,cool come havent wined dined
1.0,sleeping surfing
1.0,sorry call later
1.0,u calling right call hand phone
1.0,ok great thanx lot
1.0,take post come must text happy reading one wiv hello caroline end favourite bless
1.0,u hiding stranger
1.0,interested like
1.0,sister cleared two round birla soft yesterday
1.0,gudnite tc practice going
1.0,dis yijue jus saw ur mail case huiming havent sent u num dis num
1.0,one small prestige problem
0.0,fancy shag interested sextextuk com txt xxuk suzy txts cost per msg tncs website x
1.0,checking really miss seeing jeremiah great month
1.0,nah help never iphone
1.0,car hour half going apeshit
1.0,today sorry day ever angry ever misbehaved hurt plz plz slap urself bcoz ur fault basically good
1.0,yo guy ever figure much need alcohol jay trying figure much safely spend weed
1.0,lt gt ish minute minute ago wtf
1.0,thank calling forgot say happy onam sirji fine remembered met insurance person meet qatar insha allah rakhesh ex tata aig joined tissco tayseer
0.0,congratulation ur awarded cd voucher gift guaranteed free entry wkly draw txt music tncs www ldew com win ppmx age
0.0,ur cash balance currently pound maximize ur cash send cash p msg cc hg suite land row w j hl
1.0,actor work work evening sleep late since unemployed moment always sleep late unemployed every day saturday
1.0,hello got st andrew boy long way cold keep posted
1.0,ha ha cool cool chikku chikku db
1.0,oh ok prob
1.0,check audrey status right
1.0,busy trying finish new year looking forward finally meeting
1.0,good afternoon sunshine dawn day refreshed happy alive breathe air smile think love always
1.0,well know z take care worry
0.0,update xmas offer latest motorola sonyericsson nokia free bluetooth double min txt orange call mobileupd call optout f q
0.0,discount code rp stop message reply stop www regalportfolio co uk customer service
1.0,wat uniform get
1.0,cool text ready
1.0,hello boytoy geeee miss already woke wish bed cuddling love
1.0,spoil bed well
1.0,going bath msg next lt gt min
1.0,cant keep talking people sure pay agree price pls tell want really buy much willing pay
0.0,thanks ringtone order reference charged gbp per week unsubscribe anytime calling customer service
1.0,say happen
1.0,could seen recognise face
1.0,well lot thing happening lindsay new year sigh bar ptbo blue heron something going
1.0,keep payasam rinu brings
1.0,taught ranjith sir called sm like becaus he verifying project prabu told today pa dont mistake
1.0,guess worried must know way body repair quite sure worry take slow first test guide ovulation relax nothing said reason worry keep followin
1.0,yeah sure give couple minute track wallet
1.0,hey leave big deal take care
1.0,hey late ah meet
0.0,double min txts month free bluetooth orange available sony nokia motorola phone call mobileupd call optout n dx
1.0,took mr owl lick
1.0,customer place call
1.0,mm time dont like fun
0.0,mths half price orange line rental latest camera phone free phone mths call mobilesdirect free update stoptxt
1.0,yup lunch buffet u eat already
1.0,huh late fr dinner
1.0,hey sat going intro pilate kickboxing
1.0,morning ok
1.0,yes think office lap room think thats last day didnt shut
1.0,pick bout ish time going
1.0,performance award calculated every two month current one month period
1.0,actually sleeping still might u call back text gr rock si send u text wen wake
1.0,always putting business put picture as facebook one open people ever met would think picture room would hurt make feel violated
1.0,good evening sir al salam wahleykkum sharing happy news grace god got offer tayseer tissco joined hope fine inshah allah meet sometime rakhesh visitor india
1.0,hmmm k want change field quickly da wanna get system administrator network administrator
0.0,free ringtone text first poly text get true tone help st free tone x pw e nd txt stop
1.0,dear chechi talk
1.0,hair cream shipped
1.0,none happening til get though
1.0,yep great loxahatchee xmas tree burning lt gt start hour
1.0,haha get used driving usf man know lot stoner
1.0,well slightly disastrous class pm fav darling hope day ok coffee wld good stay late tomorrow time place always
1.0,hello good week fancy drink something later
1.0,headin towards busetop
1.0,message text missing sender name missing number missing sent date missing missing u lot thats everything missing sent via fullonsms com
1.0,come room point iron plan weekend
1.0,co want thing
1.0,okies go yan jiu skip ard oso go cine den go mrt one blah blah blah
1.0,bring home wendy
0.0,dating service cal l box sk ch
1.0,whatsup dont u want sleep
1.0,alright new goal
0.0,free entry weekly competition text word win c www txttowin co uk
1.0,alright head minute text meet
0.0,send logo ur lover name joined heart txt love name name mobno eg love adam eve yahoo pobox w wq txtno ad p
1.0,yes last week taking live call
0.0,someone contacted dating service entered phone fancy find call landline pobox n tf p
1.0,siva hostel aha
0.0,urgent mobile number awarded prize guaranteed call land line claim valid hr
1.0,send ur friend receive something ur voice speaking expression childish naughty sentiment rowdy ful attitude romantic shy attractive funny lt gt irritating lt gt lovable reply
1.0,ok ok guess
1.0,aathi dear
1.0,pain urination thing else
1.0,esplanade mind giving lift co got car today
1.0,wnt buy bmw car urgently vry urgent hv shortage lt gt lac source arng dis amt lt gt lac thats prob
1.0,home watching tv lor
1.0,usually take fifteen fucking minute respond yes question
0.0,congrats nokia video camera phone call call cost ppm ave call min vary mobile close post bcm ldn wc n xx
1.0,booked ticket pongal
1.0,available like right around hillsborough amp lt gt th
1.0,message sent askin lt gt dollar shoul pay lt gt lt gt
1.0,ask g iouri told story like ten time already
1.0,long applebees fucking take
1.0,hi hope u get txt journey hasnt gd min late think
1.0,like love arrange
1.0,yes really great bhaji told kallis best cricketer sachin world tough get
1.0,supposed wake gt
1.0,oic saw tot din c found group liao
1.0,sorry call later
1.0,hey hey werethe monkeespeople say monkeyaround howdy gorgeous
1.0,sorry battery died come getting gram place
1.0,well done blimey exercise yeah kinda remember wot hmm
1.0,wont get concentration dear know mind everything
1.0,lol made plan new year
1.0,min later k
1.0,hank lotsly
1.0,thanks hope good day today
1.0,k k detail want transfer acc enough
1.0,ok tell stay yeah tough optimistic thing improve month
0.0,loan purpose homeowner tenant welcome previously refused still help call free text back help
1.0,si si think ill go make oreo truffle
1.0,look amy ure beautiful intelligent woman like u lot know u like like worry
1.0,hope result consistently intelligent kind start asking practicum link keep ear open best ttyl
1.0,call cost guess isnt bad miss ya need ya want ya love ya
1.0,going thru different feeling wavering decision coping individual time heal everything believe
1.0,u go phone gonna die stay
1.0,great never better day give even reason thank god
0.0,upgrdcentre orange customer may claim free camera phone upgrade loyalty call offer end th july c apply opt available
1.0,sorry call later ok bye
1.0,ok way railway
1.0,great princess love giving receiving oral doggy style fave position enjoy making love lt gt time per night
1.0,put stuff road keep getting slippery
1.0,going ride bike
1.0,yup need jus wait e rain stop
1.0,many company tell language
0.0,okmail dear dave final notice collect tenerife holiday cash award call landline tc sae box cw wx ppm
1.0,long since screamed princess
1.0,nothing meant money enters account bank remove flat rate someone transfered lt gt account lt gt dollar got removed bank differ charge also differ sure trust ja person sending account detail co
0.0,want get laid tonight want real dogging location sent direct ur mob join uk largest dogging network txting moan nyt ec p msg p
1.0,nice line said broken heart plz cum time infront wise trust u good
1.0,ok gonna head usf like fifteen minute
1.0,love aathi love u lot
1.0,tension ah machi problem
1.0,k pick another th done
1.0,guy getting back g said thinking staying mcr
1.0,almost see u sec
1.0,yo carlos friend already asking working weekend
1.0,watching tv lor
1.0,thank baby cant wait taste real thing
1.0,change fb jaykwon thuglyfe falconerf
1.0,win really side long time
0.0,free message activate free text message replying message word free term condition visit www com
1.0,dear reached railway happen
1.0,depends quality want type sent boye faded glory want ralphs maybe
1.0,think fixed send test message
1.0,sorry man account dry would want could trade back half could buy shit credit card
0.0,congrats year special cinema pas call c suprman v matrix starwars etc free bx ip pm dont miss
1.0,sorry meeting call later
1.0,class lt gt reunion
1.0,free call
1.0,got meh
1.0,nope think go monday sorry replied late
1.0,told accenture confirm true
1.0,kate jackson rec center ish right
1.0,dear reache room
1.0,fighting world easy u either win lose bt fightng close u dificult u lose u lose u win u still lose
1.0,come
1.0,check nuerologist
1.0,lolnice went fish water
0.0,congratulation week competition draw u prize claim call b c stop sm ppm
1.0,waiting e car dat bored wat co wait outside got nothing home stuff watch tv wat
1.0,maybe westshore hyde park village place near house
1.0,know anthony bringing money school fee pay rent stuff like thats need help friend need
1.0,significance
1.0,opinion jada kusruthi lovable silent spl character matured stylish simple pls reply
1.0,latest g still scrounge ammo want give new ak try
1.0,prabha soryda realy frm heart sory
1.0,lol ok forgiven
1.0,jst change tat
0.0,guaranteed latest nokia phone gb ipod mp player prize txt word collect ibhltd ldnw h p mtmsgrcvd
1.0,competition
0.0,boltblue tone p reply poly mono eg poly cha cha slide yeah slow jamz toxic come stop tone txt
0.0,credit topped http www bubbletext com renewal pin tgxxrz
1.0,way transport le problematic sat night way u want ask n join bday feel free need know definite no booking fri
1.0,usually person unconscious child adult may behave abnormally call
1.0,ebay might le elsewhere
1.0,shall come get pickle
1.0,gonna go get taco
1.0,rude campus
0.0,urgent mobile awarded bonus caller prize nd attempt contact call box qu
1.0,hi b ard christmas enjoy n merry x ma
0.0,today offer claim ur worth discount voucher text yes savamob member offer mobile c sub unsub reply x
1.0,yes pretty lady like single
0.0,recieve tone within next hr term condition please see channel u teletext pg
1.0,jay say double faggot
0.0,private account statement show un redeemed point call identifier code expires
1.0,today sunday sunday holiday work
1.0,gudnite tc practice going
1.0,late
1.0,called hoping l r malaria know miss guy miss ban big pls give love especially great day
1.0,good afternoon love go day hope maybe got lead job think boytoy send passionate kiss across sea
1.0,probably gonna see later tonight lt
1.0,maybe fat finger press button know
1.0,ummmmmaah many many happy return day dear sweet heart happy birthday dear
1.0,tirupur da started office call
0.0,www applausestore com monthlysubscription p msg max month csc web age stop txt stop
1.0,famous quote develop ability listen anything unconditionally without losing temper self confidence mean married
1.0,going college pa else ill come self pa
1.0,oclock mine bash flat plan
1.0,girl stay bed girl need recovery time id rather pas fun cooped bed
1.0,special
1.0,know need get hotel got invitation apologise cali sweet come english bloke weddin
1.0,sorry took long omw
1.0,wait lt gt min
1.0,ok give minute think see btw alibi cutting hair whole time
1.0,imagine finally get sink bath put pace maybe even eat left also imagine feel cage cock surrounded bath water reminding always owns enjoy cuck
1.0,hurry weed deficient like three day
1.0,sure get acknowledgement astoundingly tactless generally faggy demand blood oath fo
1.0,ok every night take warm bath drink cup milk see work magic still need loose weight know
1.0,look frying pan case cheap book perhaps silly frying pan likely book
1.0,well uv cause mutation sunscreen like essential thesedays
1.0,lunch online
1.0,know friend already told
1.0,hi princess thank pic pretty
1.0,aiyo u always c ex one dunno abt mei reply first time u reply fast lucky workin huh got bao ur sugardad ah gee
1.0,hi msg office
1.0,thanx e brownie v nice
1.0,geeeee love much barely stand
0.0,gent trying contact last weekend draw show prize guaranteed call claim code k valid hr ppm
1.0,fuck babe miss already know let send money towards net need want crave
1.0,ill call u mrw ninish address icky american freek wont stop callin bad jen k eh
1.0,oooh bed ridden ey thinking
1.0,anyways go gym whatever love smile hope ok good day babe miss much already
1.0,love daddy make scream pleasure going slap as dick
1.0,wot u wanna missy
1.0,yar lor wait mum finish sch lunch lor whole morning stay home clean room room quite clean hee
1.0,know lab goggles went
1.0,open door
1.0,waiting call
1.0,nope waiting sch daddy
0.0,cash prize claim call
1.0,tired arguing week week want
1.0,wait sch finish ard
0.0,mobile number claim call u back ring claim hot line
1.0,arngd marriage u r walkin unfortuntly snake bite u bt love marriage dancing frnt snake amp sayin bite bite
1.0,huh early dinner outside izzit
1.0,ok anyway need change said
0.0,tried contact reply offer min textand new video phone call reply free delivery tomorrow
1.0,ex wife able kid want kid one day
1.0,scotland hope showing jjc tendency take care live dream
1.0,tell u headache want use hour sick time
1.0,dun thk quit yet hmmm go jazz yogasana oso go meet em lesson den
1.0,pete please ring meive hardly gotany credit
1.0,ya srsly better yi tho
1.0,meeting call later
0.0,ur chance win wkly shopping spree txt shop c www txt shop com custcare x p wk
0.0,specially selected receive pound award call line close cost ppm c apply ag promo
0.0,private account statement show un redeemed point call identifier code expires
1.0,still grand prix
1.0,met stranger choose friend long world stand friendship never end let friend forever gud nitz
1.0,great
1.0,gud mrng dear nice day
0.0,important customer service announcement call freephone
1.0,exhausted train morning much wine pie sleep well
1.0,going buy mum present ar
1.0,mind blastin tsunami occur rajnikant stopped swimming indian ocean
1.0,u sending home first ok lor ready yet
1.0,speaking cash yet
1.0,happy come noon
1.0,meet lunch la
1.0,take care n get well soon
0.0,xclusive clubsaisai morow soiree speciale zouk nichols paris free rose lady info
1.0,meant say cant wait see u getting bored bridgwater banter
1.0,neva mind ok
1.0,fine imma get drink somethin want come find
0.0,day kick euro u kept date latest news result daily removed send get txt stop
1.0,valentine game send dis msg ur friend answer r someone really love u ques colour suit best rply
1.0,many dependent
1.0,thanx today cer nice catch ave find time often oh well take care c u soon c
1.0,called said choose future
1.0,happy valentine day know early hundred handsomes beauty wish thought finish aunty uncle st
1.0,like v shock leh co telling shuhui like telling leona also like dat almost know liao got ask abt ur reaction lor
1.0,family happiness
1.0,come n pick come immediately aft ur lesson
1.0,let snow let snow kind weather brings ppl together friendship grow
1.0,dear got lt gt dollar hi hi
1.0,good word word may leave u dismay many time
1.0,make sure alex know birthday fifteen minute far concerned
1.0,sorry got thing may pub later
1.0,nah straight bring bud drink something actually little useful straight cash
1.0,haha good hear officially paid market th
1.0,many lick take get center tootsie pop
1.0,yup thk r e teacher said make face look longer darren ask cut short
0.0,new textbuddy chat horny guy ur area p free receive search postcode gaytextbuddy com txt one name
0.0,today vodafone number ending selected receive award number match call receive award
1.0,please dont say like hi hi hi
1.0,thank u
1.0,oh forwarded message thought send
1.0,got seventeen pound seven hundred ml hope ok
0.0,dear voucher holder claim week offer pc go http www e tlp co uk expressoffer t c apply stop text txt stop
1.0,n funny
